Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;1;23676575;10.48
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;2;23676575;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;3;23676575;10.46
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;4;23676575;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;5;23676575;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;6;23676575;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;7;23676575;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;8;23676575;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;9;23676575;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;10;23676575;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;11;23676575;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;12;23676575;10.48
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;13;23676575;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;14;23676575;10.47
