Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 6.0;input=Int32[1000];Workload;Result;1;635225;393.51
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 6.0;input=Int32[1000];Workload;Result;2;635225;393.8
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 6.0;input=Int32[1000];Workload;Result;3;635225;393.74
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 6.0;input=Int32[1000];Workload;Result;4;635225;393.69
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 6.0;input=Int32[1000];Workload;Result;5;635225;393.76
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 6.0;input=Int32[1000];Workload;Result;6;635225;393.79
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 6.0;input=Int32[1000];Workload;Result;7;635225;393.73
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 6.0;input=Int32[1000];Workload;Result;8;635225;393.2
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 6.0;input=Int32[1000];Workload;Result;9;635225;393.22
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 6.0;input=Int32[1000];Workload;Result;10;635225;393.74
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 6.0;input=Int32[1000];Workload;Result;11;635225;393.61
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 6.0;input=Int32[1000];Workload;Result;12;635225;393.65
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 6.0;input=Int32[1000];Workload;Result;13;635225;393.74
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;1;637584;389.76
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;2;637584;389.71
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;3;637584;389.76
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;4;637584;389.81
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;5;637584;389.77
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;6;637584;389.83
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;7;637584;389.7
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;8;637584;389.69
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;9;637584;389.78
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;10;637584;389.81
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;11;637584;389.79
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;12;637584;389.8
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 6.0;input=Int32[1000];Workload;Result;1;638416;389.93
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 6.0;input=Int32[1000];Workload;Result;2;638416;389.73
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 6.0;input=Int32[1000];Workload;Result;3;638416;389.99
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 6.0;input=Int32[1000];Workload;Result;4;638416;389.72
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 6.0;input=Int32[1000];Workload;Result;5;638416;389.71
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 6.0;input=Int32[1000];Workload;Result;6;638416;389.77
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 6.0;input=Int32[1000];Workload;Result;7;638416;389.82
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 6.0;input=Int32[1000];Workload;Result;8;638416;389.72
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 6.0;input=Int32[1000];Workload;Result;9;638416;389.72
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 6.0;input=Int32[1000];Workload;Result;10;638416;389.79
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 6.0;input=Int32[1000];Workload;Result;11;638416;389.78
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 6.0;input=Int32[1000];Workload;Result;12;638416;389.46
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;1;581584;428.37
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;2;581584;428.2
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;3;581584;428.33
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;4;581584;428.37
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;5;581584;428.32
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;6;581584;427.92
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;7;581584;427.61
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;8;581584;427.69
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;9;581584;428.1
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;10;581584;428.28
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;11;581584;427.95
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;12;581584;427.86
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;13;581584;428.66
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;14;581584;428.17
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 6.0;input=Int32[1000];Workload;Result;15;581584;428.04
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 8.0;input=Int32[1000];Workload;Result;1;638252;391.48
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 8.0;input=Int32[1000];Workload;Result;2;638252;391.94
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 8.0;input=Int32[1000];Workload;Result;3;638252;391.84
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 8.0;input=Int32[1000];Workload;Result;4;638252;391.71
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 8.0;input=Int32[1000];Workload;Result;5;638252;391.81
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 8.0;input=Int32[1000];Workload;Result;6;638252;391.8
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 8.0;input=Int32[1000];Workload;Result;7;638252;391.74
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 8.0;input=Int32[1000];Workload;Result;8;638252;391.8
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 8.0;input=Int32[1000];Workload;Result;9;638252;391.89
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 8.0;input=Int32[1000];Workload;Result;10;638252;391.57
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 8.0;input=Int32[1000];Workload;Result;11;638252;391.51
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 8.0;input=Int32[1000];Workload;Result;12;638252;391.48
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 8.0;input=Int32[1000];Workload;Result;13;638252;391.67
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET 8.0;input=Int32[1000];Workload;Result;14;638252;391.45
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 8.0;input=Int32[1000];Workload;Result;1;639072;389.22
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 8.0;input=Int32[1000];Workload;Result;2;639072;389.24
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 8.0;input=Int32[1000];Workload;Result;3;639072;389.23
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 8.0;input=Int32[1000];Workload;Result;4;639072;389.43
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 8.0;input=Int32[1000];Workload;Result;5;639072;389.27
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 8.0;input=Int32[1000];Workload;Result;6;639072;389.27
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 8.0;input=Int32[1000];Workload;Result;7;639072;389.28
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 8.0;input=Int32[1000];Workload;Result;8;639072;389.26
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 8.0;input=Int32[1000];Workload;Result;9;639072;389.39
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 8.0;input=Int32[1000];Workload;Result;10;639072;389.23
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 8.0;input=Int32[1000];Workload;Result;11;639072;389.28
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 8.0;input=Int32[1000];Workload;Result;12;639072;389.35
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 8.0;input=Int32[1000];Workload;Result;13;639072;389.34
Arrays_InOut;Win32NT;DllImport;FillIntArray_Fixed;.NET 8.0;input=Int32[1000];Workload;Result;14;639072;389.28
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 8.0;input=Int32[1000];Workload;Result;1;637632;389.52
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 8.0;input=Int32[1000];Workload;Result;2;637632;389.44
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 8.0;input=Int32[1000];Workload;Result;3;637632;389.58
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 8.0;input=Int32[1000];Workload;Result;4;637632;389.58
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 8.0;input=Int32[1000];Workload;Result;5;637632;389.56
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 8.0;input=Int32[1000];Workload;Result;6;637632;389.53
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 8.0;input=Int32[1000];Workload;Result;7;637632;389.42
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 8.0;input=Int32[1000];Workload;Result;8;637632;389.47
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 8.0;input=Int32[1000];Workload;Result;9;637632;389.43
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 8.0;input=Int32[1000];Workload;Result;10;637632;389.4
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 8.0;input=Int32[1000];Workload;Result;11;637632;389.32
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 8.0;input=Int32[1000];Workload;Result;12;637632;389.4
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 8.0;input=Int32[1000];Workload;Result;13;637632;389.35
Arrays_InOut;Win32NT;DllImport;FillIntArray_OutAttr;.NET 8.0;input=Int32[1000];Workload;Result;14;637632;389.41
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;1;591392;419.91
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;2;591392;419.97
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;3;591392;419.8
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;4;591392;420.1
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;5;591392;420.22
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;6;591392;419.98
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;7;591392;420.26
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;8;591392;420.44
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;9;591392;420.46
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;10;591392;420.06
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;11;591392;420.16
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;12;591392;420.18
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;13;591392;420.35
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;14;591392;420.35
Arrays_InOut;Win32NT;DllImport;FillIntArray_Pinned;.NET 8.0;input=Int32[1000];Workload;Result;15;591392;420.68
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET Framework 4.8;input=Int32[1000];Workload;Result;1;631385;396.87
Arrays_InOut;Win32NT;DllImport;FillIntArray_ByValue;.NET Framework 4.8;input=Int32[1000];Workload;Result;2;631385;396.9
