Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;1;537690;463.19
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;2;537690;462.79
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;3;537690;463.98
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;4;537690;464.37
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;5;537690;464.09
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;6;537690;464.73
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;7;537690;463.39
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;8;537690;462.56
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;9;537690;462.49
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;10;537690;462.78
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;11;537690;464.96
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;12;537690;465.17
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;13;537690;464.33
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;14;537690;464.78
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[1000];Workload;Result;15;537690;465
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[1000];Workload;Result;1;540257;462.43
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[1000];Workload;Result;2;540257;464
