Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;1;67108864;5.22;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;2;67108864;5.21;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;3;67108864;5.2;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;4;67108864;5.2;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;5;67108864;5.2;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;6;67108864;5.21;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;7;67108864;5.22;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;8;67108864;5.2;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;9;67108864;5.2;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;10;67108864;5.2;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;11;67108864;5.2;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;12;67108864;5.26;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;13;67108864;5.26;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;14;67108864;5.25;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;15;67108864;5.26;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;1;67108864;6.09;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;2;67108864;6.02;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;3;67108864;6.06;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;4;67108864;6.03;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;5;67108864;6.03;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;6;67108864;6.11;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;7;67108864;6.05;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;8;67108864;6.07;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;9;67108864;6.09;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;10;67108864;6.1;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;11;67108864;6.07;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;12;67108864;6.09;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;13;67108864;6.08;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;14;67108864;6.11;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;15;67108864;6.07;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;1;67108864;9.24;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;2;67108864;9.24;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;3;67108864;9.24;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;4;67108864;9.24;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;5;67108864;9.24;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;6;67108864;9.24;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;7;67108864;9.24;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;8;67108864;9.24;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;9;67108864;9.24;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;10;67108864;9.24;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;11;67108864;9.25;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;12;67108864;9.24;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;13;67108864;9.24;0;0;0;0
Arrays_In;Win32NT;Managed;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;14;67108864;9.24;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;1;67108864;10.96;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;2;67108864;10.97;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;3;67108864;10.93;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;4;67108864;10.95;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;5;67108864;10.92;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;6;67108864;10.98;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;7;67108864;10.98;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;8;67108864;10.96;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;9;67108864;10.95;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;10;67108864;10.98;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;11;67108864;10.95;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;12;67108864;10.99;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;13;67108864;11.01;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;14;67108864;10.97;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;15;67108864;10.95;0;0;0;0
Arrays_In;Win32NT;LibraryImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;1;67108864;11.89;0;0;0;0
Arrays_In;Win32NT;LibraryImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;2;67108864;11.9;0;0;0;0
Arrays_In;Win32NT;LibraryImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;3;67108864;11.9;0;0;0;0
Arrays_In;Win32NT;LibraryImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;4;67108864;11.9;0;0;0;0
Arrays_In;Win32NT;LibraryImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;5;67108864;11.89;0;0;0;0
Arrays_In;Win32NT;LibraryImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;6;67108864;11.9;0;0;0;0
Arrays_In;Win32NT;LibraryImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;7;67108864;11.9;0;0;0;0
Arrays_In;Win32NT;LibraryImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;8;67108864;11.9;0;0;0;0
Arrays_In;Win32NT;LibraryImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;9;67108864;11.89;0;0;0;0
Arrays_In;Win32NT;LibraryImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;10;67108864;11.9;0;0;0;0
Arrays_In;Win32NT;LibraryImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;11;67108864;11.9;0;0;0;0
Arrays_In;Win32NT;LibraryImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;12;67108864;11.89;0;0;0;0
Arrays_In;Win32NT;LibraryImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;13;67108864;11.9;0;0;0;0
Arrays_In;Win32NT;LibraryImport;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;14;67108864;11.9;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;1;67108864;11.96;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;2;67108864;11.96;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;3;67108864;11.96;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;4;67108864;11.96;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;5;67108864;11.96;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;6;67108864;11.96;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;7;67108864;11.96;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;8;67108864;11.95;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;9;67108864;11.96;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;10;67108864;11.95;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;11;67108864;11.96;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;12;67108864;11.95;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;13;67108864;11.96;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;14;67108864;11.96;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 8.0;input=Int32[10];Workload;Result;15;67108864;11.95;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;1;67108864;12.11;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;2;67108864;12.06;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;3;67108864;12.07;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;4;67108864;12.11;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;5;67108864;12.02;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;6;67108864;12.05;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;7;67108864;12.04;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;8;67108864;12.13;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;9;67108864;12.1;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;10;67108864;12.06;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;11;67108864;12.1;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;12;67108864;12.05;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;13;67108864;12.07;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;14;67108864;12.08;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;15;67108864;12.15;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;1;67108864;12.31;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;2;67108864;12.31;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;3;67108864;12.31;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;4;67108864;12.31;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;5;67108864;12.31;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;6;67108864;12.31;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;7;67108864;12.31;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;8;67108864;12.31;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;9;67108864;12.31;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;10;67108864;12.3;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;11;67108864;12.3;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;12;67108864;12.31;0;0;0;0
Arrays_In;Win32NT;FuncPointers;SumIntArray;.NET 6.0;input=Int32[10];Workload;Result;13;67108864;12.3;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;1;33554432;16.15;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;2;33554432;16.1;0;0;0;0
Arrays_In;Win32NT;DllImport;SumIntArray;.NET Framework 4.8;input=Int32[10];Workload;Result;3;33554432;16.12;0;0;0;0
