Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;37100000;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3180800;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3187100;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3204100;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3205900;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3203200;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3247000;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3195200;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3206900;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3200300;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3207200;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3202100;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3176400;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3207600;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3215300;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3190200;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3247100;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3206000;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3167100;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3174800;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3157500;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3216100;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3237400;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3192900;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3242100;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3341100;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3232600;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3229600;0;0;0;952
CS_Mixed;Win32NT;LibraryImport;Mixed;.NET 8.0;;Workload;Result;1;1;3225600;0;0;0;952
