Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;42507400
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1333600
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1281600
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1286300
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1332800
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1329000
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1297700
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1277400
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1282100
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1294400
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1365200
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1342800
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1289900
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1302800
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1304200
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1357400
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1374000
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1288200
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1307400
CS_Structs_Blittable;Win32NT;DllImport;SumIntsInStruct_Ref;.NET 6.0;input=PInvo(...)truct [46];Workload;Result;1;1;1287900
