Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 6.0;input=Int32[1000];Workload;Result;1;23109595;10.84
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 6.0;input=Int32[1000];Workload;Result;2;23109595;10.84
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 6.0;input=Int32[1000];Workload;Result;3;23109595;10.84
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 6.0;input=Int32[1000];Workload;Result;4;23109595;10.85
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 6.0;input=Int32[1000];Workload;Result;5;23109595;10.84
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 6.0;input=Int32[1000];Workload;Result;6;23109595;10.83
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 6.0;input=Int32[1000];Workload;Result;7;23109595;10.84
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 6.0;input=Int32[1000];Workload;Result;8;23109595;10.83
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 6.0;input=Int32[1000];Workload;Result;9;23109595;10.83
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 6.0;input=Int32[1000];Workload;Result;10;23109595;10.83
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 6.0;input=Int32[1000];Workload;Result;11;23109595;10.84
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 6.0;input=Int32[1000];Workload;Result;12;23109595;10.83
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;1;23798336;8.48
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;2;23798336;8.52
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;3;23798336;8.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;4;23798336;8.5
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;5;23798336;8.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;6;23798336;8.49
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;7;23798336;8.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;8;23798336;8.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;9;23798336;8.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;10;23798336;8.49
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;11;23798336;8.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;12;23798336;8.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;13;23798336;8.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;input=Int32[1000];Workload;Result;14;23798336;8.48
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 8.0;input=Int32[1000];Workload;Result;1;23884066;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 8.0;input=Int32[1000];Workload;Result;2;23884066;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 8.0;input=Int32[1000];Workload;Result;3;23884066;10.48
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 8.0;input=Int32[1000];Workload;Result;4;23884066;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 8.0;input=Int32[1000];Workload;Result;5;23884066;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 8.0;input=Int32[1000];Workload;Result;6;23884066;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 8.0;input=Int32[1000];Workload;Result;7;23884066;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 8.0;input=Int32[1000];Workload;Result;8;23884066;10.47
Arrays_Empty_In;Win32NT;DllImport;Empty_IntArray;.NET 8.0;input=Int32[1000];Workload;Result;9;23884066;10.46
