Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;1;26511374;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;2;26511374;9.44
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;3;26511374;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;4;26511374;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;5;26511374;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;6;26511374;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;7;26511374;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;8;26511374;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;9;26511374;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;10;26511374;9.42
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;11;26511374;9.42
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;12;26511374;9.42
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;13;26511374;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;14;26511374;9.42
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 6.0;;Workload;Result;15;26511374;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 8.0;;Workload;Result;1;26529248;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 8.0;;Workload;Result;2;26529248;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 8.0;;Workload;Result;3;26529248;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 8.0;;Workload;Result;4;26529248;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 8.0;;Workload;Result;5;26529248;9.44
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 8.0;;Workload;Result;6;26529248;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 8.0;;Workload;Result;7;26529248;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 8.0;;Workload;Result;8;26529248;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 8.0;;Workload;Result;9;26529248;9.44
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 8.0;;Workload;Result;10;26529248;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 8.0;;Workload;Result;11;26529248;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET 8.0;;Workload;Result;12;26529248;9.43
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;1;16997990;14.72
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;2;16997990;14.71
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;3;16997990;14.7
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;4;16997990;14.67
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;5;16997990;14.68
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;6;16997990;14.72
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;7;16997990;14.69
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;8;16997990;14.72
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;9;16997990;14.72
Primitive_Int_Out;Win32NT;DllImport;ConstantInt;.NET Framework 4.8;;Workload;Result;10;16997990;14.67
