Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;1;268435456;1.39;0;0;0;0
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;2;268435456;1.39;0;0;0;0
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;3;268435456;1.39;0;0;0;0
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;4;268435456;1.39;0;0;0;0
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;5;268435456;1.39;0;0;0;0
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;6;268435456;1.39;0;0;0;0
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;7;268435456;1.39;0;0;0;0
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;8;268435456;1.39;0;0;0;0
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;9;268435456;1.39;0;0;0;0
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;10;268435456;1.39;0;0;0;0
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;11;268435456;1.39;0;0;0;0
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;12;268435456;1.39;0;0;0;0
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;13;268435456;1.39;0;0;0;0
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;14;268435456;1.39;0;0;0;0
SGCT;Win32NT;LibraryImport;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;15;268435456;1.39;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 6.0;;Workload;Result;1;268435456;3.49;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 6.0;;Workload;Result;2;268435456;3.49;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 6.0;;Workload;Result;3;268435456;3.49;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 6.0;;Workload;Result;4;268435456;3.49;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 6.0;;Workload;Result;5;268435456;3.49;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 6.0;;Workload;Result;6;268435456;3.49;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 6.0;;Workload;Result;7;268435456;3.49;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 6.0;;Workload;Result;8;268435456;3.49;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 6.0;;Workload;Result;9;268435456;3.49;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 6.0;;Workload;Result;10;268435456;3.49;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 6.0;;Workload;Result;11;268435456;3.49;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 6.0;;Workload;Result;12;268435456;3.49;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;1;134217728;4.18;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;2;134217728;4.18;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;3;134217728;4.18;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;4;134217728;4.18;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;5;134217728;4.18;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;6;134217728;4.18;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;7;134217728;4.18;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;8;134217728;4.18;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;9;134217728;4.18;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;10;134217728;4.18;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;11;134217728;4.18;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;12;134217728;4.18;0;0;0;0
SGCT;Win32NT;FuncPointers;EmptyVoid_SGCT;.NET 8.0;;Workload;Result;13;134217728;4.18;0;0;0;0
Void_Empty;Win32NT;FuncPointers;EmptyVoid;.NET 8.0;;Workload;Result;1;67108864;6.5;0;0;0;0
Void_Empty;Win32NT;FuncPointers;EmptyVoid;.NET 8.0;;Workload;Result;2;67108864;6.5;0;0;0;0
Void_Empty;Win32NT;FuncPointers;EmptyVoid;.NET 8.0;;Workload;Result;3;67108864;6.5;0;0;0;0
Void_Empty;Win32NT;FuncPointers;EmptyVoid;.NET 8.0;;Workload;Result;4;67108864;6.49;0;0;0;0
