Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 6.0;;Workload;Result;1;26220150;9.44
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 6.0;;Workload;Result;2;26220150;9.44
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 6.0;;Workload;Result;3;26220150;9.44
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 6.0;;Workload;Result;4;26220150;9.44
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 6.0;;Workload;Result;5;26220150;9.43
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 6.0;;Workload;Result;6;26220150;9.43
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 6.0;;Workload;Result;7;26220150;9.44
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 6.0;;Workload;Result;8;26220150;9.43
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 6.0;;Workload;Result;9;26220150;9.43
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 6.0;;Workload;Result;10;26220150;9.44
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 6.0;;Workload;Result;11;26220150;9.43
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 6.0;;Workload;Result;12;26220150;9.43
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 6.0;;Workload;Result;13;26220150;9.44
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;1;26500580;9.63
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;2;26500580;9.85
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;3;26500580;9.67
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;4;26500580;9.84
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;5;26500580;9.43
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;6;26500580;9.44
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;7;26500580;9.84
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;8;26500580;9.84
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;9;26500580;9.52
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;10;26500580;9.69
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;11;26500580;9.43
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;12;26500580;9.43
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;13;26500580;9.43
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;14;26500580;9.43
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;15;26500580;9.43
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET 8.0;;Workload;Result;16;26500580;9.42
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET Framework 4.8;;Workload;Result;1;16894311;14.73
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET Framework 4.8;;Workload;Result;2;16894311;14.74
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET Framework 4.8;;Workload;Result;3;16894311;14.71
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET Framework 4.8;;Workload;Result;4;16894311;14.71
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET Framework 4.8;;Workload;Result;5;16894311;15.56
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET Framework 4.8;;Workload;Result;6;16894311;14.7
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET Framework 4.8;;Workload;Result;7;16894311;14.7
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET Framework 4.8;;Workload;Result;8;16894311;15.14
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET Framework 4.8;;Workload;Result;9;16894311;15.11
Primitive_Int_InOut;Win32NT;DllImport;MultiplyInt;.NET Framework 4.8;;Workload;Result;10;16894311;14.72
