Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;1;18384558;13.64
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;2;18384558;13.61
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;3;18384558;13.6
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;4;18384558;13.61
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;5;18384558;13.61
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;6;18384558;13.61
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;7;18384558;13.62
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;8;18384558;13.63
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;9;18384558;13.61
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;10;18384558;13.61
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;11;18384558;13.61
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;12;18384558;13.6
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;13;18384558;13.62
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;1;17404143;14.31
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;2;17404143;14.33
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;3;17404143;14.31
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;4;17404143;14.31
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;5;17404143;14.32
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;6;17404143;14.32
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;7;17404143;14.31
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;8;17404143;14.31
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;9;17404143;14.31
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;10;17404143;14.32
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;11;17404143;14.31
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;12;17404143;14.32
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;13;17404143;14.32
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;14;17404143;14.32
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET Framework 4.8;;Workload;Result;1;12960852;19.31
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET Framework 4.8;;Workload;Result;2;12960852;19.31
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET Framework 4.8;;Workload;Result;3;12960852;19.3
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET Framework 4.8;;Workload;Result;4;12960852;19.29
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET Framework 4.8;;Workload;Result;5;12960852;19.28
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET Framework 4.8;;Workload;Result;6;12960852;19.35
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET Framework 4.8;;Workload;Result;7;12960852;19.26
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET Framework 4.8;;Workload;Result;8;12960852;19.29
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET Framework 4.8;;Workload;Result;9;12960852;19.33
