Type;Method;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Median;Min;Max;Gen0;Allocated
Managed;EmptyString;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;0.6864 ns;0.0007 ns;0.0006 ns;0.6861 ns;0.6856 ns;0.6874 ns;0.0000;0 B
Managed;EmptyString;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;1.0445 ns;0.0010 ns;0.0009 ns;1.0443 ns;1.0434 ns;1.0465 ns;0.0000;0 B
Managed;EmptyString;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;1.0649 ns;0.0028 ns;0.0026 ns;1.0648 ns;1.0623 ns;1.0697 ns;0.0000;0 B
DllImport;StringLength_Utf16;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;12.6860 ns;0.0146 ns;0.0136 ns;12.6833 ns;12.6674 ns;12.7123 ns;0.0000;0 B
DllImport;StringLength_Utf16;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;12.8979 ns;0.0480 ns;0.0449 ns;12.8905 ns;12.8357 ns;12.9828 ns;0.0000;0 B
DllImport;StringLength_Utf16;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;17.6822 ns;0.0269 ns;0.0252 ns;17.6808 ns;17.6486 ns;17.7265 ns;0.0000;0 B
LibraryImport;EmptyString;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;29.3171 ns;0.0143 ns;0.0127 ns;29.3150 ns;29.2997 ns;29.3437 ns;0.0000;0 B
DllImport;EmptyString;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;37.7936 ns;0.0322 ns;0.0285 ns;37.7883 ns;37.7600 ns;37.8583 ns;0.0000;0 B
FuncPointers;EmptyString;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;41.8233 ns;0.0793 ns;0.0742 ns;41.8192 ns;41.6776 ns;41.9754 ns;0.0076;48 B
DllImport;EmptyString;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;44.5157 ns;0.1422 ns;0.1330 ns;44.4364 ns;44.3825 ns;44.7979 ns;0.0000;0 B
