Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 6.0;;Workload;Result;1;1706212;150.75
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 6.0;;Workload;Result;2;1706212;150.14
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 6.0;;Workload;Result;3;1706212;150.43
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 6.0;;Workload;Result;4;1706212;150.73
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 6.0;;Workload;Result;5;1706212;150.51
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 6.0;;Workload;Result;6;1706212;150.28
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 6.0;;Workload;Result;7;1706212;150.25
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 6.0;;Workload;Result;8;1706212;149.64
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 6.0;;Workload;Result;9;1706212;150.26
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 6.0;;Workload;Result;10;1706212;150.31
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 6.0;;Workload;Result;11;1706212;150.18
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 6.0;;Workload;Result;12;1706212;150.34
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 6.0;;Workload;Result;13;1706212;150.22
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 6.0;;Workload;Result;14;1706212;150.39
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;1;1774848;136.19
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;2;1774848;136.14
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;3;1774848;136.02
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;4;1774848;135.92
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;5;1774848;136.09
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;6;1774848;135.78
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;7;1774848;136.08
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;8;1774848;135.93
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;9;1774848;135.88
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;10;1774848;135.72
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;11;1774848;135.9
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;12;1774848;135.83
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 6.0;;Workload;Result;1;1340928;182.89
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 6.0;;Workload;Result;2;1340928;182.44
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 6.0;;Workload;Result;3;1340928;182.34
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 6.0;;Workload;Result;4;1340928;182.2
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 6.0;;Workload;Result;5;1340928;182.22
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 6.0;;Workload;Result;6;1340928;182.34
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 6.0;;Workload;Result;7;1340928;182.55
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 6.0;;Workload;Result;8;1340928;182.14
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 6.0;;Workload;Result;9;1340928;182.16
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 6.0;;Workload;Result;10;1340928;182.31
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 6.0;;Workload;Result;11;1340928;182.59
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 6.0;;Workload;Result;12;1340928;182.31
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 6.0;;Workload;Result;13;1340928;182.24
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 6.0;;Workload;Result;14;1340928;182.28
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;1;1959213;127.82
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;2;1959213;127.51
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;3;1959213;127.82
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;4;1959213;127.42
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;5;1959213;127.77
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;6;1959213;127.61
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;7;1959213;127.47
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;8;1959213;127.53
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;9;1959213;127.34
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;10;1959213;127.32
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;11;1959213;127.39
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;12;1959213;127.38
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;13;1959213;127.37
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;14;1959213;127.35
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;15;1959213;127.72
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;1;1914560;126.61
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;2;1914560;125.13
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;3;1914560;125.5
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;4;1914560;126.04
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;5;1914560;126.2
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;6;1914560;126.22
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;7;1914560;125.13
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;8;1914560;125.71
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;9;1914560;124.95
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;10;1914560;125.13
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;11;1914560;125.14
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;12;1914560;125.85
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;13;1914560;125.22
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;14;1914560;124.62
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;15;1914560;124.85
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 8.0;;Workload;Result;1;1369104;176.11
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 8.0;;Workload;Result;2;1369104;176.21
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 8.0;;Workload;Result;3;1369104;176.25
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 8.0;;Workload;Result;4;1369104;176.61
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 8.0;;Workload;Result;5;1369104;176.42
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 8.0;;Workload;Result;6;1369104;175.89
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 8.0;;Workload;Result;7;1369104;176.3
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 8.0;;Workload;Result;8;1369104;176.1
Strings_InOut;Win32NT;DllImport;StringToUppercase_StringBuilder;.NET 8.0;;Workload;Result;9;1369104;176.16
