Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;1;4194304;124.16;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;2;4194304;123.82;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;3;4194304;123.63;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;4;4194304;123.88;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;5;4194304;123.56;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;6;4194304;123.71;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;7;4194304;123.64;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;8;4194304;123.62;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;9;4194304;124.05;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;10;4194304;123.9;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;11;4194304;123.73;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;12;4194304;123.54;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;13;4194304;123.67;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;14;4194304;123.68;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;15;4194304;123.6;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;1;4194304;124.65;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;2;4194304;124.31;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;3;4194304;124.3;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;4;4194304;124.22;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;5;4194304;124.16;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;6;4194304;124.22;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;7;4194304;124.26;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;8;4194304;124.33;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;9;4194304;124.49;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;10;4194304;124.26;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;11;4194304;124.2;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;12;4194304;124.29;64;0;0;96
Strings_InOut;Win32NT;LibraryImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;13;4194304;124.27;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;1;4194304;124.73;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;2;4194304;124.63;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;3;4194304;124.55;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;4;4194304;124.51;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;5;4194304;124.53;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;6;4194304;124.62;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;7;4194304;124.56;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;8;4194304;124.64;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;9;4194304;124.69;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;10;4194304;124.55;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;11;4194304;124.58;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;12;4194304;124.64;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;1;4194304;126.9;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;2;4194304;126.74;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;3;4194304;126.73;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;4;4194304;126.77;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;5;4194304;126.61;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;6;4194304;126.71;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;7;4194304;127.03;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;8;4194304;126.68;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;9;4194304;126.62;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;10;4194304;126.67;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;11;4194304;126.57;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;12;4194304;127.14;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;13;4194304;126.56;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_ByteArray;.NET 8.0;;Workload;Result;14;4194304;126.59;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;1;4194304;127.75;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;2;4194304;127.29;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;3;4194304;127.29;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;4;4194304;127.19;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;5;4194304;127.56;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;6;4194304;127.76;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;7;4194304;127.4;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;8;4194304;127.47;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;9;4194304;127.48;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;10;4194304;127.39;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;11;4194304;127.32;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;12;4194304;127.46;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;13;4194304;127.41;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;14;4194304;127.32;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 8.0;;Workload;Result;15;4194304;127.56;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;1;4194304;139.94;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;2;4194304;139.9;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;3;4194304;139.86;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;4;4194304;139.85;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;5;4194304;139.93;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;6;4194304;139.83;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;7;4194304;139.82;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;8;4194304;139.79;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;9;4194304;139.81;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;10;4194304;139.72;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;11;4194304;139.38;64;0;0;96
Strings_InOut;Win32NT;DllImport;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;12;4194304;139.34;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;1;4194304;140.29;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;2;4194304;140.32;64;0;0;96
Strings_InOut;Win32NT;FuncPointers;StringToUppercase_Fixed;.NET 6.0;;Workload;Result;3;4194304;140.32;64;0;0;96
