Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 6.0;input=PInvo(...)Class [45];Workload;Result;1;23121934;10.81
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 6.0;input=PInvo(...)Class [45];Workload;Result;2;23121934;10.81
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 6.0;input=PInvo(...)Class [45];Workload;Result;3;23121934;10.83
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 6.0;input=PInvo(...)Class [45];Workload;Result;4;23121934;10.83
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 6.0;input=PInvo(...)Class [45];Workload;Result;5;23121934;10.83
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 6.0;input=PInvo(...)Class [45];Workload;Result;6;23121934;10.81
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 6.0;input=PInvo(...)Class [45];Workload;Result;7;23121934;10.82
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 6.0;input=PInvo(...)Class [45];Workload;Result;8;23121934;10.82
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 6.0;input=PInvo(...)Class [45];Workload;Result;9;23121934;10.81
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 6.0;input=PInvo(...)Class [45];Workload;Result;10;23121934;10.83
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 6.0;input=PInvo(...)Class [45];Workload;Result;11;23121934;10.82
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 6.0;input=PInvo(...)Class [45];Workload;Result;12;23121934;10.83
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 8.0;input=PInvo(...)Class [45];Workload;Result;1;23104251;10.82
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 8.0;input=PInvo(...)Class [45];Workload;Result;2;23104251;10.82
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 8.0;input=PInvo(...)Class [45];Workload;Result;3;23104251;10.82
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 8.0;input=PInvo(...)Class [45];Workload;Result;4;23104251;10.81
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 8.0;input=PInvo(...)Class [45];Workload;Result;5;23104251;10.81
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 8.0;input=PInvo(...)Class [45];Workload;Result;6;23104251;10.81
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 8.0;input=PInvo(...)Class [45];Workload;Result;7;23104251;10.81
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 8.0;input=PInvo(...)Class [45];Workload;Result;8;23104251;10.81
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 8.0;input=PInvo(...)Class [45];Workload;Result;9;23104251;10.81
Structs_Blittable;Win32NT;DllImport;SumIntsInClass_Ref;.NET 8.0;input=PInvo(...)Class [45];Workload;Result;10;23104251;10.82
