Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 6.0;input=PInvo(...)truct [49];Workload;Result;1;3024164;79.13
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 6.0;input=PInvo(...)truct [49];Workload;Result;2;3024164;78.72
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 6.0;input=PInvo(...)truct [49];Workload;Result;3;3024164;79.04
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 6.0;input=PInvo(...)truct [49];Workload;Result;4;3024164;78.91
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 6.0;input=PInvo(...)truct [49];Workload;Result;5;3024164;78.77
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 6.0;input=PInvo(...)truct [49];Workload;Result;6;3024164;79.15
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 6.0;input=PInvo(...)truct [49];Workload;Result;7;3024164;78.85
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 6.0;input=PInvo(...)truct [49];Workload;Result;8;3024164;78.65
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 6.0;input=PInvo(...)truct [49];Workload;Result;9;3024164;78.91
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 6.0;input=PInvo(...)truct [49];Workload;Result;10;3024164;78.92
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 6.0;input=PInvo(...)truct [49];Workload;Result;11;3024164;78.95
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 6.0;input=PInvo(...)truct [49];Workload;Result;12;3024164;78.87
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 6.0;input=PInvo(...)truct [49];Workload;Result;13;3024164;78.99
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 6.0;input=PInvo(...)truct [49];Workload;Result;14;3024164;79.04
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 8.0;input=PInvo(...)truct [49];Workload;Result;1;3810794;63.66
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 8.0;input=PInvo(...)truct [49];Workload;Result;2;3810794;63.81
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 8.0;input=PInvo(...)truct [49];Workload;Result;3;3810794;63.54
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 8.0;input=PInvo(...)truct [49];Workload;Result;4;3810794;63.35
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 8.0;input=PInvo(...)truct [49];Workload;Result;5;3810794;63.2
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 8.0;input=PInvo(...)truct [49];Workload;Result;6;3810794;63.34
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 8.0;input=PInvo(...)truct [49];Workload;Result;7;3810794;63.32
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 8.0;input=PInvo(...)truct [49];Workload;Result;8;3810794;63.22
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 8.0;input=PInvo(...)truct [49];Workload;Result;9;3810794;63.24
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 8.0;input=PInvo(...)truct [49];Workload;Result;10;3810794;63.88
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 8.0;input=PInvo(...)truct [49];Workload;Result;11;3810794;63.59
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 8.0;input=PInvo(...)truct [49];Workload;Result;12;3810794;63.96
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 8.0;input=PInvo(...)truct [49];Workload;Result;13;3810794;63.47
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET 8.0;input=PInvo(...)truct [49];Workload;Result;14;3810794;63.61
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET Framework 4.8;input=PInvo(...)truct [49];Workload;Result;1;1561539;151.79
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET Framework 4.8;input=PInvo(...)truct [49];Workload;Result;2;1561539;151.95
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET Framework 4.8;input=PInvo(...)truct [49];Workload;Result;3;1561539;151.84
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET Framework 4.8;input=PInvo(...)truct [49];Workload;Result;4;1561539;151.85
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET Framework 4.8;input=PInvo(...)truct [49];Workload;Result;5;1561539;151.68
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET Framework 4.8;input=PInvo(...)truct [49];Workload;Result;6;1561539;151.87
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET Framework 4.8;input=PInvo(...)truct [49];Workload;Result;7;1561539;152.01
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET Framework 4.8;input=PInvo(...)truct [49];Workload;Result;8;1561539;151.9
Structs_NonBlittable;Win32NT;DllImport;UpdateNonBlittableStruct_Manual;.NET Framework 4.8;input=PInvo(...)truct [49];Workload;Result;9;1561539;151.63
