Type;Method;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;input;Mean;Error;StdDev;Median;Min;Max
DllImport;UpdateNonBlittableStruct_Manual;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [49];78.92 ns;0.164 ns;0.146 ns;78.91 ns;78.65 ns;79.15 ns
DllImport;UpdateNonBlittableStruct_Manual;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [49];63.51 ns;0.282 ns;0.250 ns;63.51 ns;63.20 ns;63.96 ns
DllImport;UpdateNonBlittableStruct_Manual;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [49];151.82 ns;0.119 ns;0.105 ns;151.82 ns;151.63 ns;152.01 ns
FuncPointers;UpdateNonBlittableStruct_Manual;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [49];78.92 ns;0.174 ns;0.163 ns;78.86 ns;78.65 ns;79.21 ns
FuncPointers;UpdateNonBlittableStruct_Manual;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [49];66.10 ns;0.281 ns;0.263 ns;66.09 ns;65.70 ns;66.66 ns
LibraryImport;UpdateNonBlittableStruct_Manual;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [49];62.10 ns;0.235 ns;0.219 ns;61.99 ns;61.85 ns;62.56 ns
LibraryImport;UpdateNonBlittableStruct_Marshaller;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [49];227.30 ns;0.180 ns;0.141 ns;227.29 ns;227.09 ns;227.54 ns
Managed;UpdateNonBlittableStruct_Manual;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [49];30.93 ns;0.215 ns;0.201 ns;30.84 ns;30.64 ns;31.31 ns
Managed;UpdateNonBlittableStruct_Manual;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [49];22.85 ns;0.047 ns;0.039 ns;22.86 ns;22.75 ns;22.90 ns
Managed;UpdateNonBlittableStruct_Manual;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [49];38.88 ns;0.068 ns;0.056 ns;38.90 ns;38.73 ns;38.93 ns
