Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;1;268435456;0.72;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;2;268435456;0.72;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;3;268435456;0.71;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;4;268435456;0.72;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;5;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;6;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;7;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;8;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;9;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;10;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;11;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;12;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;13;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;14;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 8.0;;Workload;Result;15;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;1;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;2;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;3;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;4;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;5;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;6;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;7;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;8;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;9;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;10;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;11;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;12;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;13;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;14;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET 6.0;;Workload;Result;15;268435456;0.7;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET Framework 4.8;;Workload;Result;1;268435456;1.02;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET Framework 4.8;;Workload;Result;2;268435456;1.02;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET Framework 4.8;;Workload;Result;3;268435456;1.02;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET Framework 4.8;;Workload;Result;4;268435456;1.02;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET Framework 4.8;;Workload;Result;5;268435456;1.02;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET Framework 4.8;;Workload;Result;6;268435456;1.02;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET Framework 4.8;;Workload;Result;7;268435456;1.02;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET Framework 4.8;;Workload;Result;8;268435456;1.02;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET Framework 4.8;;Workload;Result;9;268435456;1.02;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET Framework 4.8;;Workload;Result;10;268435456;1.02;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET Framework 4.8;;Workload;Result;11;268435456;1.02;0;0;0;0
Primitive_Bool_InOut;Win32NT;Managed;NegateBool;.NET Framework 4.8;;Workload;Result;12;268435456;1.02;0;0;0;0
