Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
Void_Empty;Win32NT;LibraryImport;EmptyVoid;.NET 8.0;;Workload;Result;1;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;LibraryImport;EmptyVoid;.NET 8.0;;Workload;Result;2;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;LibraryImport;EmptyVoid;.NET 8.0;;Workload;Result;3;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;LibraryImport;EmptyVoid;.NET 8.0;;Workload;Result;4;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;LibraryImport;EmptyVoid;.NET 8.0;;Workload;Result;5;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;LibraryImport;EmptyVoid;.NET 8.0;;Workload;Result;6;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;LibraryImport;EmptyVoid;.NET 8.0;;Workload;Result;7;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;LibraryImport;EmptyVoid;.NET 8.0;;Workload;Result;8;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;LibraryImport;EmptyVoid;.NET 8.0;;Workload;Result;9;67108864;6.85;0;0;0;0
Void_Empty;Win32NT;LibraryImport;EmptyVoid;.NET 8.0;;Workload;Result;10;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;LibraryImport;EmptyVoid;.NET 8.0;;Workload;Result;11;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;LibraryImport;EmptyVoid;.NET 8.0;;Workload;Result;12;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;1;67108864;6.86;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;2;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;3;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;4;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;5;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;6;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;7;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;8;67108864;6.86;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;9;67108864;6.86;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;10;67108864;6.86;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;11;67108864;6.86;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;12;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;13;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;14;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 8.0;;Workload;Result;15;67108864;6.84;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;1;67108864;7.72;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;2;67108864;7.74;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;3;67108864;7.73;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;4;67108864;7.73;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;5;67108864;7.72;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;6;67108864;7.72;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;7;67108864;7.73;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;8;67108864;7.73;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;9;67108864;7.74;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;10;67108864;7.71;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;11;67108864;7.73;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;12;67108864;7.71;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;13;67108864;7.73;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;14;67108864;7.73;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET 6.0;;Workload;Result;15;67108864;7.71;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET Framework 4.8;;Workload;Result;1;67108864;12.38;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET Framework 4.8;;Workload;Result;2;67108864;12.38;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET Framework 4.8;;Workload;Result;3;67108864;12.38;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET Framework 4.8;;Workload;Result;4;67108864;12.39;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET Framework 4.8;;Workload;Result;5;67108864;12.39;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET Framework 4.8;;Workload;Result;6;67108864;12.38;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET Framework 4.8;;Workload;Result;7;67108864;12.38;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET Framework 4.8;;Workload;Result;8;67108864;12.39;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET Framework 4.8;;Workload;Result;9;67108864;12.38;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET Framework 4.8;;Workload;Result;10;67108864;12.39;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET Framework 4.8;;Workload;Result;11;67108864;12.39;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET Framework 4.8;;Workload;Result;12;67108864;12.39;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET Framework 4.8;;Workload;Result;13;67108864;12.38;0;0;0;0
Void_Empty;Win32NT;DllImport;EmptyVoid;.NET Framework 4.8;;Workload;Result;14;67108864;12.38;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 6.0;;Workload;Result;1;33554432;16.36;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 6.0;;Workload;Result;2;33554432;16.35;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 6.0;;Workload;Result;3;33554432;16.35;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 6.0;;Workload;Result;4;33554432;16.35;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 6.0;;Workload;Result;5;33554432;16.38;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 6.0;;Workload;Result;6;33554432;16.36;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 6.0;;Workload;Result;7;33554432;16.35;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 6.0;;Workload;Result;8;33554432;16.34;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 6.0;;Workload;Result;9;33554432;16.35;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 6.0;;Workload;Result;10;33554432;16.36;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 6.0;;Workload;Result;11;33554432;16.36;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 6.0;;Workload;Result;12;33554432;16.35;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 6.0;;Workload;Result;13;33554432;16.36;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 6.0;;Workload;Result;14;33554432;16.36;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;1;33554432;17.09;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;2;33554432;17.09;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;3;33554432;17.09;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;4;33554432;17.09;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;5;33554432;17.09;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;6;33554432;17.09;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;7;33554432;17.09;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;8;33554432;17.1;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;9;33554432;17.09;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;10;33554432;17.09;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;11;33554432;17.09;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;12;33554432;17.09;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;13;33554432;17.09;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;14;33554432;17.09;0;0;0;0
SLE;Win32NT;LibraryImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;1;67108864;17.52;0;0;0;0
SLE;Win32NT;LibraryImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;2;67108864;17.52;0;0;0;0
SLE;Win32NT;LibraryImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;3;67108864;17.52;0;0;0;0
SLE;Win32NT;LibraryImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;4;67108864;17.52;0;0;0;0
SLE;Win32NT;LibraryImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;5;67108864;17.51;0;0;0;0
SLE;Win32NT;LibraryImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;6;67108864;17.52;0;0;0;0
SLE;Win32NT;LibraryImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;7;67108864;17.52;0;0;0;0
SLE;Win32NT;LibraryImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;8;67108864;17.52;0;0;0;0
SLE;Win32NT;LibraryImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;9;67108864;17.52;0;0;0;0
SLE;Win32NT;LibraryImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;10;67108864;17.52;0;0;0;0
SLE;Win32NT;LibraryImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;11;67108864;17.52;0;0;0;0
SLE;Win32NT;LibraryImport;EmptyVoid_SLE;.NET 8.0;;Workload;Result;12;67108864;17.52;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;1;33554432;18.16;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;2;33554432;18.19;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;3;33554432;18.22;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;4;33554432;18.18;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;5;33554432;18.19;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;6;33554432;18.18;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;7;33554432;18.18;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;8;33554432;18.14;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;9;33554432;18.14;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;10;33554432;18.16;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;11;33554432;18.14;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;12;33554432;18.14;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;13;33554432;18.14;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;14;33554432;18.15;0;0;0;0
SLE;Win32NT;DllImport;EmptyVoid_SLE;.NET Framework 4.8;;Workload;Result;15;33554432;18.14;0;0;0;0
