Type;Method;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Median;Min;Max;Gen0;Allocated
LibraryImport;StringToUppercase_ByteArray;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;123.7 ns;0.19 ns;0.18 ns;123.7 ns;123.5 ns;124.2 ns;0.0153;96 B
LibraryImport;StringToUppercase_Fixed;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;124.3 ns;0.16 ns;0.13 ns;124.3 ns;124.2 ns;124.6 ns;0.0153;96 B
DllImport;StringToUppercase_Fixed;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;124.6 ns;0.09 ns;0.07 ns;124.6 ns;124.5 ns;124.7 ns;0.0153;96 B
DllImport;StringToUppercase_ByteArray;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;126.7 ns;0.20 ns;0.17 ns;126.7 ns;126.6 ns;127.1 ns;0.0153;96 B
FuncPointers;StringToUppercase_Fixed;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;127.4 ns;0.17 ns;0.16 ns;127.4 ns;127.2 ns;127.8 ns;0.0153;96 B
DllImport;StringToUppercase_Fixed;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;139.8 ns;0.25 ns;0.20 ns;139.8 ns;139.3 ns;139.9 ns;0.0153;96 B
FuncPointers;StringToUppercase_Fixed;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;140.2 ns;0.21 ns;0.19 ns;140.2 ns;139.8 ns;140.6 ns;0.0153;96 B
DllImport;StringToUppercase_ByteArray;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;146.5 ns;0.26 ns;0.24 ns;146.5 ns;146.1 ns;147.0 ns;0.0153;96 B
DllImport;StringToUppercase_StringBuilder;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;177.9 ns;0.08 ns;0.06 ns;177.9 ns;177.8 ns;178.1 ns;0.0381;240 B
DllImport;StringToUppercase_StringBuilder;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;181.0 ns;0.37 ns;0.35 ns;180.9 ns;180.5 ns;181.8 ns;0.0381;240 B
DllImport;StringToUppercase_StringBuilder;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;272.8 ns;1.31 ns;1.22 ns;272.8 ns;270.9 ns;274.9 ns;0.0496;313 B
DllImport;StringToUppercase_ByteArray;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;279.3 ns;0.45 ns;0.40 ns;279.1 ns;278.9 ns;280.2 ns;0.0162;104 B
DllImport;StringToUppercase_Fixed;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;283.7 ns;0.05 ns;0.05 ns;283.7 ns;283.7 ns;283.8 ns;0.0162;104 B
