Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;1;67108864;12.48;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;2;67108864;12.46;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;3;67108864;12.46;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;4;67108864;12.45;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;5;67108864;12.45;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;6;67108864;12.45;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;7;67108864;12.48;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;8;67108864;12.42;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;9;67108864;12.48;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;10;67108864;12.45;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;11;67108864;12.44;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;12;67108864;12.45;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;13;67108864;12.41;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;14;67108864;12.48;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 6.0;;Workload;Result;15;67108864;12.42;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;1;67108864;13.1;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;2;67108864;13.09;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;3;67108864;12.95;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;4;67108864;13.08;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;5;67108864;13.02;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;6;67108864;13.11;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;7;67108864;13.06;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;8;67108864;13.06;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;9;67108864;13.11;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;10;67108864;13.08;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;11;67108864;13.04;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;12;67108864;13.09;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;13;67108864;13.04;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;14;67108864;13.05;0;0;0;0
Strings_In;Win32NT;FuncPointers;StringLength_Utf16;.NET 8.0;;Workload;Result;15;67108864;13.12;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;1;67108864;13.31;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;2;67108864;13.27;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;3;67108864;13.31;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;4;67108864;13.25;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;5;67108864;13.31;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;6;67108864;13.24;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;7;67108864;13.26;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;8;67108864;13.29;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;9;67108864;13.32;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;10;67108864;13.32;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;11;67108864;13.25;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;12;67108864;13.3;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;13;67108864;13.31;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;14;67108864;13.3;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf16;.NET 8.0;;Workload;Result;15;67108864;13.24;0;0;0;0
Strings_In;Win32NT;LibraryImport;StringLength_Utf8;.NET 8.0;;Workload;Result;1;16777216;35.37;0;0;0;0
