Type;Method;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;input;Mean;Error;StdDev;Median;Min;Max;Allocated
Managed;SumIntsInStruct_Ref;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [46];0.6429 ns;0.0022 ns;0.0021 ns;0.6435 ns;0.6392 ns;0.6458 ns;0 B
Managed;SumIntsInStruct_Ref;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [46];0.6963 ns;0.0004 ns;0.0004 ns;0.6962 ns;0.6958 ns;0.6971 ns;0 B
Managed;SumIntsInStruct_Ref;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [46];1.5791 ns;0.0018 ns;0.0017 ns;1.5792 ns;1.5739 ns;1.5812 ns;0 B
FuncPointers;SumIntsInClass_Ref;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)Class [45];8.5678 ns;0.0017 ns;0.0016 ns;8.5677 ns;8.5656 ns;8.5709 ns;0 B
DllImport;SumIntsInStruct_Ref;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [46];9.5669 ns;0.0074 ns;0.0065 ns;9.5645 ns;9.5602 ns;9.5807 ns;0 B
FuncPointers;SumIntsInStruct_Ref;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [46];9.5683 ns;0.0024 ns;0.0020 ns;9.5676 ns;9.5656 ns;9.5718 ns;0 B
FuncPointers;SumIntsInStruct_Ref;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [46];9.6255 ns;0.0017 ns;0.0015 ns;9.6251 ns;9.6232 ns;9.6289 ns;0 B
DllImport;SumIntsInStruct_Return;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [46];9.6307 ns;0.0032 ns;0.0025 ns;9.6299 ns;9.6275 ns;9.6364 ns;0 B
DllImport;SumIntsInStruct_Ref;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [46];9.6977 ns;0.0031 ns;0.0027 ns;9.6968 ns;9.6945 ns;9.7035 ns;0 B
FuncPointers;SumIntsInStruct_Return;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [46];10.0410 ns;0.0035 ns;0.0030 ns;10.0404 ns;10.0368 ns;10.0479 ns;0 B
DllImport;SumIntsInStruct_Return;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;PInvo(...)truct [46];10.5835 ns;0.0328 ns;0.0307 ns;10.5823 ns;10.5377 ns;10.6352 ns;0 B
