Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;1;27528930;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;2;27528930;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;3;27528930;9.09
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;4;27528930;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;5;27528930;9.1
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;6;27528930;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;7;27528930;9.1
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;8;27528930;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;9;27528930;9.09
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;10;27528930;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;11;27528930;9.1
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;12;27528930;9.09
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;13;27528930;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;14;27528930;9.09
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 6.0;;Workload;Result;15;27528930;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 8.0;;Workload;Result;1;27567377;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 8.0;;Workload;Result;2;27567377;9.07
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 8.0;;Workload;Result;3;27567377;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 8.0;;Workload;Result;4;27567377;9.07
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 8.0;;Workload;Result;5;27567377;9.07
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 8.0;;Workload;Result;6;27567377;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 8.0;;Workload;Result;7;27567377;9.09
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 8.0;;Workload;Result;8;27567377;9.09
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 8.0;;Workload;Result;9;27567377;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 8.0;;Workload;Result;10;27567377;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 8.0;;Workload;Result;11;27567377;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 8.0;;Workload;Result;12;27567377;9.07
Void_Empty;Win32NT;DllImport;Empty_Void;.NET 8.0;;Workload;Result;13;27567377;9.08
Void_Empty;Win32NT;DllImport;Empty_Void;.NET Framework 4.8;;Workload;Result;1;17373380;14.41
Void_Empty;Win32NT;DllImport;Empty_Void;.NET Framework 4.8;;Workload;Result;2;17373380;14.4
Void_Empty;Win32NT;DllImport;Empty_Void;.NET Framework 4.8;;Workload;Result;3;17373380;14.39
Void_Empty;Win32NT;DllImport;Empty_Void;.NET Framework 4.8;;Workload;Result;4;17373380;14.4
Void_Empty;Win32NT;DllImport;Empty_Void;.NET Framework 4.8;;Workload;Result;5;17373380;14.38
