OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Overhead;Jitting;1;1;292800
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Jitting;1;1;19035000
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Overhead;Jitting;2;16;17331.25
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Jitting;2;16;16612.5
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Pilot;1;16;93.75
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Pilot;2;3200000;16.92
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Pilot;3;17726896;21.71
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Pilot;4;13815536;22.45
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Pilot;5;13363360;22.53
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Overhead;Warmup;1;13363360;2.79
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Overhead;Warmup;2;13363360;2.79
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Overhead;Warmup;3;13363360;2.78
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Overhead;Warmup;4;13363360;2.79
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Overhead;Warmup;5;13363360;2.78
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Overhead;Actual;1;13363360;2.8
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Overhead;Actual;2;13363360;2.84
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Overhead;Actual;3;13363360;2.77
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Overhead;Actual;4;13363360;2.77
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Overhead;Actual;5;13363360;2.78
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Overhead;Actual;6;13363360;2.71
